category,flow,scenario,mode,file,contentType,default
DATAHUB,DMS_BOOKING,BOOKING_UPDATE,SYNC,datahub/default-booking-update.json,application/json,Y
DATAHUB,DMS_BOOKING,BOOKING_UPDATE,ASYNC,datahub/default-booking-update.json,application/json,Y
DATAHUB,DMS_BOOKING,BOOKING_UPDATE_FULL,SYNC,datahub/booking-update-full.json,application/json,N
DATAHUB,DMS_BOOKING,BOOKING_CANCEL,ASYNC,datahub/booking-cancel-event.json,application/json,N
DATAHUB,DMS_BOOKING,BOOKINGDETAILS,ASYNC,datahub/BookingDetails_SUBSCRIBEBOOKINGDETAILS_Queue.xml,text/xml,N
DATAHUB,DMS_BOOKING,SUBSCRIBEBOOKINGDETAILS,ASYNC,datahub/BookingDetails_SUBSCRIBEBOOKINGDETAILS_Queue.xml,text/xml,N
DATAHUB,DMS_BOOKING,PUBLISHBOOKINGDETAILS,ASYNC,datahub/DataHub_PublishBookingDetails_Topic.xml,text/xml,N
DATAHUB,DMS_BOOKING,SAMPLE_DMS_EVENT,ASYNC,datahub/sample-dms-event.xml,text/xml,N
DATAHUB,SAP_BOOKING,SAMPLE_SAP_EVENT,ASYNC,datahub/sample-sap-event.xml,text/xml,N
APIGEE,DMS_BOOKING,PACKAGEOFFERS,SYNC,apigee/package-offers-postman.json,application/json,Y
APIGEE,DMS_BOOKING,ACCOMOFFERS,SYNC,apigee/accom-offers-postman.json,application/json,N
APIGEE,DMS_BOOKING,FLIGHTOFFERS,SYNC,apigee/flight-offers-postman.json,application/json,N
APIGEE,DMS_BOOKING,CRUISEOFFERS,SYNC,apigee/cruise-offers-postman.json,application/json,N
VRP,DMS_BOOKING,DISPLAYBOOKING_V3,SYNC,vrp/DisplayBooking_v3.xml,text/xml,Y
VRP,DMS_BOOKING,INFOBOOKING_V3,SYNC,vrp/InfoBooking_v3.xml,text/xml,N
VRP,DMS_BOOKING,CREATEBOOKING_V3,SYNC,vrp/CreateBooking_v3.xml,text/xml,N
VRP,DMS_BOOKING,BOOKING_MODIFY,SYNC,vrp/booking-modify-request.xml,text/xml,N
NORDICS,DMS_BOOKING,BOOKING_EVENT,ASYNC,nordics/booking-event.json,application/json,Y
NORDICS,DMS_BOOKING,BOOKING_CREATED,ASYNC,nordics/booking-created-event.json,application/json,N
NORDICS,DMS_BOOKING,CUSTOMER_ID_UPDATED,ASYNC,nordics/customer-id-updated-event.json,application/json,N
NORDICS,DMS_BOOKING,SAMPLE_DMS_EVENT,ASYNC,nordics/sample-dms-event.xml,text/xml,N
NORDICS,DMS_BOOKING,RESERVATIONEVENT_V3,ASYNC,nordics/23246322_119min_Nordics_EMS_Server_uat_vlx0268_TOPIC_reservationEvent.v3.xml,text/xml,N
NORDICS,SAP_BOOKING,SAMPLE_SAP_EVENT,ASYNC,nordics/sample-sap-event.xml,text/xml,N
KAFKA,DMS_BOOKING,BOOKINGDETAILS,ASYNC,kafka/booking-details-event.json,application/json,N
KAFKA,DMS_BOOKING,PUBLISHBOOKINGDETAILS,ASYNC,kafka/publish-booking-details-event.json,application/json,N
